recordingId,trackId,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,class
001,40,363,1692,1330,-72.5772,48.9454,63.7129,47.4240,-1,13,1.5360,3.2258,car
001,41,421,633,165,53.0208,28.1027,68.4549,49.4356,12,12,1.1258,1.3021,motor
001,42,422,434,13,-20.7501,30.1990,-20.7370,30.1774,9,9,0.7012,0.9286,pedestrian
001,43,492,699,190,28.7365,38.3701,50.6514,43.6017,7,10,1.0186,2.2593,car
001,44,500,544,45,-55.5865,44.7429,-58.9914,48.9742,-1,9,1.0950,2.6080,car
001,45,529,530,2,33.8556,38.8041,33.9222,38.7816,7,7,0.6889,0.7333,people
001,46,547,884,338,-71.4065,47.9225,-16.3201,-44.2842,-1,4,1.6047,3.9801,car
001,47,554,635,65,41.4514,44.7398,25.9583,37.1751,7,7,0.9581,1.2762,motor
001,48,557,1021,465,-66.9223,47.7852,-13.3185,-44.3199,5,8,1.3035,3.5186,car
001,49,565,672,52,37.7626,39.4170,48.6135,43.0921,7,10,1.2980,2.1940,motor
001,50,574,1559,960,-75.0448,48.5146,-18.3718,-43.9941,3,4,1.1272,1.7346,motor
001,51,587,972,386,-70.8892,47.9231,-15.8803,-44.3883,-1,4,1.4825,3.6121,car
001,52,622,679,58,13.1732,-44.2655,17.8228,-36.7439,-1,-1,0.8935,1.4971,motor
001,53,631,641,11,-17.8790,-24.7864,-17.8931,-24.7950,2,2,0.8618,1.3413,pedestrian
001,54,644,664,3,-20.8371,30.1776,-20.8278,30.1534,9,9,0.6892,0.8610,pedestrian
001,55,674,713,40,16.6743,34.7946,7.9611,33.3300,7,2,0.8782,1.4983,motor
001,56,693,693,1,-17.8924,-24.8842,-17.8924,-24.8842,2,2,0.8911,1.5013,pedestrian
001,57,708,732,25,-20.8260,30.1543,-20.8563,30.1686,9,9,0.6831,0.8887,pedestrian
001,58,714,752,15,21.8451,-29.9391,23.6837,-26.7950,-1,-1,0.8110,1.4460,motor
001,59,722,1740,1019,-71.2254,47.4832,67.4173,47.1109,-1,12,1.5020,3.3802,car
001,60,726,1181,456,-67.0381,48.2741,-13.0812,-44.4860,5,8,1.4404,3.3941,car
001,61,736,736,1,16.5998,-39.3966,16.5998,-39.3966,-1,-1,0.8332,1.1740,pedestrian
001,62,742,1608,847,50.2539,49.3051,-18.1580,-40.6333,7,4,0.8253,1.3604,motor
001,63,751,763,13,-0.5014,31.9862,-3.1929,31.4333,2,2,0.8434,1.5077,motor
001,64,763,1746,984,12.6392,-44.2694,-52.2095,48.9580,-1,-1,1.4747,3.4792,car
