dataset_id,version,raw_object_id,final_object_id,class_name_mode,start_frame,end_frame,total_frames,mean_confidence,is_kept,is_filtered,filter_type,filter_reason,fragmentation_group_id,quality_score
cao_qiao_001,moving_filtered,793,,car,8792,8921,23,0.3658,false,true,missing_ratio_filter,missing_ratio_exceeded,,8.4132
cao_qiao_001,moving_filtered,802,,van,8878,9021,144,0.6784,false,true,short_track_filter,track_duration_too_short,,97.6834
cao_qiao_001,moving_filtered,100021,,pedestrian,0,6,7,0.5234,false,true,short_track_filter,track_duration_too_short,,3.6641
cao_qiao_001,moving_filtered,100022,7,motor,0,517,444,0.5434,true,false,,,,241.2649
cao_qiao_001,moving_filtered,100023,8,people,0,92,93,0.5187,true,false,,,,48.2413
cao_qiao_001,moving_filtered,100024,,motor,0,304,68,0.5270,false,true,missing_ratio_filter,missing_ratio_exceeded,,35.8394
cao_qiao_001,moving_filtered,100025,,tricycle,0,107,45,0.4687,false,true,missing_ratio_filter,missing_ratio_exceeded,,21.0925
cao_qiao_001,moving_filtered,100026,,pedestrian,0,131,77,0.4788,false,true,missing_ratio_filter,missing_ratio_exceeded,,36.8697
cao_qiao_001,moving_filtered,100028,,pedestrian,1,6,5,0.4567,false,true,short_track_filter,track_duration_too_short,,2.2833
cao_qiao_001,moving_filtered,100032,,motor,45,183,81,0.5456,false,true,missing_ratio_filter,missing_ratio_exceeded,,44.1934
cao_qiao_001,moving_filtered,100035,,motor,118,214,43,0.4294,false,true,missing_ratio_filter,missing_ratio_exceeded,,18.4657
cao_qiao_001,moving_filtered,100038,,tricycle,157,162,6,0.4173,false,true,short_track_filter,track_duration_too_short,,2.5036
cao_qiao_001,moving_filtered,100039,,people,165,185,3,0.4067,false,true,missing_ratio_filter,missing_ratio_exceeded,,1.2201
cao_qiao_001,moving_filtered,100043,,pedestrian,215,327,6,0.4219,false,true,missing_ratio_filter,missing_ratio_exceeded,,2.5316
cao_qiao_001,moving_filtered,100044,,pedestrian,213,216,4,0.4241,false,true,short_track_filter,track_duration_too_short,,1.6964
cao_qiao_001,moving_filtered,100045,10,pedestrian,305,576,182,0.4820,true,false,,,,87.7281
cao_qiao_001,moving_filtered,100049,,pedestrian,281,281,1,0.5079,false,true,short_track_filter,track_duration_too_short,,0.5079
cao_qiao_001,moving_filtered,100052,11,motor,340,649,237,0.5458,true,false,,,,129.3608
cao_qiao_001,moving_filtered,100054,,tricycle,291,334,9,0.4471,false,true,missing_ratio_filter,missing_ratio_exceeded,,4.0240
cao_qiao_001,moving_filtered,100060,13,motor,421,633,153,0.5433,true,false,,,,83.1216
cao_qiao_001,moving_filtered,100061,,pedestrian,422,434,7,0.4550,false,true,missing_ratio_filter,missing_ratio_exceeded,,3.1847
cao_qiao_001,moving_filtered,100071,,people,529,530,2,0.4934,false,true,short_track_filter,track_duration_too_short,,0.9868
cao_qiao_001,moving_filtered,100073,,motor,554,763,74,0.4668,false,true,missing_ratio_filter,missing_ratio_exceeded,,34.5448
