dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,309,car,3815,4307,493,0.776980,274.236023,54.349194,1551.786987,2119.453430,2428.331109,2504.199932,5.089837,7.481988,0.002033,False,
cao_qiao_001,315,van,3916,4438,523,0.681246,292.353333,57.351800,1548.203278,2105.758545,2402.733709,2511.885463,4.812041,7.614705,0.005747,False,
cao_qiao_001,318,van,3937,4716,780,0.635803,449.909882,82.507462,3338.190247,138.267868,2888.818563,4611.862180,5.920234,10.204372,0.001284,False,
cao_qiao_001,320,car,3948,4809,862,0.732454,3022.195068,89.397736,1573.070374,2126.674438,2500.091747,3302.846375,3.836059,7.695068,0.003484,False,
cao_qiao_001,323,car,3984,4647,664,0.729170,3067.830566,92.724082,973.725983,972.912109,2271.564433,2365.379091,3.567691,7.381812,0.048265,False,
cao_qiao_001,324,van,4001,4109,9,0.323115,2723.711182,801.459808,2723.794678,801.468094,0.083906,0.407768,0.026977,0.064284,1.000000,False,
cao_qiao_001,326,car,4014,4317,304,0.743889,2180.491211,2120.514648,3352.574585,92.757645,2342.131060,2371.906151,7.828073,13.284795,0.003300,False,
cao_qiao_001,328,car,4023,4545,520,0.722690,267.762085,50.426800,1541.214417,2130.317139,2438.775238,2536.395613,4.858997,10.919766,0.003854,False,
cao_qiao_001,332,car,4107,4653,547,0.732589,260.375336,50.756424,1502.481934,2126.525452,2419.017540,2528.098806,4.630218,7.298567,0.003663,False,
cao_qiao_001,339,car,4165,4266,43,0.509801,3078.150757,500.139336,3355.023010,151.735231,445.020971,450.745731,4.516432,6.645837,0.000000,False,
cao_qiao_001,345,car,4211,4559,349,0.702218,2166.251465,2126.583496,3393.762024,99.742966,2369.570575,2403.736629,6.907289,10.216378,0.000000,False,
cao_qiao_001,346,car,4226,4247,16,0.313916,1460.278503,295.607483,1460.229919,295.725281,0.127423,0.683598,0.042621,0.097877,1.000000,False,
cao_qiao_001,349,truck,4258,4423,29,0.322917,2723.712097,801.496887,2723.722412,801.519806,0.025133,1.531918,0.036965,0.109317,1.000000,False,
cao_qiao_001,369,car,4532,4536,5,0.306743,1460.452515,295.641846,1460.470612,295.674591,0.037413,0.136047,0.034012,0.049710,1.000000,False,
cao_qiao_001,375,van,4607,4653,15,0.331238,2723.568481,801.471008,2723.506409,801.433502,0.072524,0.467532,0.030232,0.069202,1.000000,False,
cao_qiao_001,381,car,4706,5056,351,0.708640,2170.367065,2126.454956,3305.667542,106.849680,2316.832459,2353.548161,6.724423,12.635635,0.000000,False,
