dataset_id,frame_id,timestamp,width,height,num_objects,output_frame
cao_qiao_001,208,6.940274,3840,2160,7,208
cao_qiao_001,209,6.973640,3840,2160,7,209
cao_qiao_001,210,7.007007,3840,2160,7,210
cao_qiao_001,211,7.040374,3840,2160,8,211
cao_qiao_001,212,7.073740,3840,2160,8,212
cao_qiao_001,213,7.107107,3840,2160,9,213
cao_qiao_001,214,7.140474,3840,2160,9,214
cao_qiao_001,215,7.173841,3840,2160,10,215
cao_qiao_001,216,7.207207,3840,2160,9,216
cao_qiao_001,217,7.240574,3840,2160,7,217
cao_qiao_001,218,7.273941,3840,2160,7,218
cao_qiao_001,219,7.307307,3840,2160,7,219
cao_qiao_001,220,7.340674,3840,2160,7,220
cao_qiao_001,221,7.374041,3840,2160,7,221
cao_qiao_001,222,7.407407,3840,2160,7,222
cao_qiao_001,223,7.440774,3840,2160,7,223
cao_qiao_001,224,7.474141,3840,2160,7,224
cao_qiao_001,225,7.507508,3840,2160,7,225
cao_qiao_001,226,7.540874,3840,2160,7,226
cao_qiao_001,227,7.574241,3840,2160,7,227
cao_qiao_001,228,7.607608,3840,2160,8,228
cao_qiao_001,229,7.640974,3840,2160,8,229
cao_qiao_001,230,7.674341,3840,2160,7,230
cao_qiao_001,231,7.707708,3840,2160,7,231
cao_qiao_001,232,7.741074,3840,2160,7,232
cao_qiao_001,233,7.774441,3840,2160,7,233
cao_qiao_001,234,7.807808,3840,2160,7,234
cao_qiao_001,235,7.841175,3840,2160,7,235
cao_qiao_001,236,7.874541,3840,2160,8,236
cao_qiao_001,237,7.907908,3840,2160,7,237
cao_qiao_001,238,7.941275,3840,2160,7,238
cao_qiao_001,239,7.974641,3840,2160,7,239
cao_qiao_001,240,8.008008,3840,2160,7,240
cao_qiao_001,241,8.041375,3840,2160,7,241
cao_qiao_001,242,8.074741,3840,2160,7,242
cao_qiao_001,243,8.108108,3840,2160,8,243
cao_qiao_001,244,8.141475,3840,2160,8,244
cao_qiao_001,245,8.174842,3840,2160,8,245
cao_qiao_001,246,8.208208,3840,2160,8,246
cao_qiao_001,247,8.241575,3840,2160,8,247
cao_qiao_001,248,8.274942,3840,2160,8,248
cao_qiao_001,249,8.308308,3840,2160,8,249
cao_qiao_001,250,8.341675,3840,2160,8,250
cao_qiao_001,251,8.375042,3840,2160,8,251
cao_qiao_001,252,8.408408,3840,2160,8,252
cao_qiao_001,253,8.441775,3840,2160,8,253
cao_qiao_001,254,8.475142,3840,2160,8,254
cao_qiao_001,255,8.508509,3840,2160,8,255
cao_qiao_001,256,8.541875,3840,2160,8,256
cao_qiao_001,257,8.575242,3840,2160,8,257
cao_qiao_001,258,8.608609,3840,2160,8,258
cao_qiao_001,259,8.641975,3840,2160,8,259
cao_qiao_001,260,8.675342,3840,2160,7,260
cao_qiao_001,261,8.708709,3840,2160,7,261
cao_qiao_001,262,8.742075,3840,2160,8,262
cao_qiao_001,263,8.775442,3840,2160,8,263
cao_qiao_001,264,8.808809,3840,2160,7,264
cao_qiao_001,265,8.842176,3840,2160,7,265
cao_qiao_001,266,8.875542,3840,2160,7,266
cao_qiao_001,267,8.908909,3840,2160,6,267
cao_qiao_001,268,8.942276,3840,2160,6,268
cao_qiao_001,269,8.975642,3840,2160,6,269
cao_qiao_001,270,9.009009,3840,2160,6,270
cao_qiao_001,271,9.042376,3840,2160,6,271
cao_qiao_001,272,9.075742,3840,2160,6,272
cao_qiao_001,273,9.109109,3840,2160,6,273
cao_qiao_001,274,9.142476,3840,2160,6,274
cao_qiao_001,275,9.175843,3840,2160,6,275
cao_qiao_001,276,9.209209,3840,2160,6,276
cao_qiao_001,277,9.242576,3840,2160,6,277
cao_qiao_001,278,9.275943,3840,2160,6,278
cao_qiao_001,279,9.309309,3840,2160,6,279
cao_qiao_001,280,9.342676,3840,2160,6,280
cao_qiao_001,281,9.376043,3840,2160,7,281
cao_qiao_001,282,9.409409,3840,2160,6,282
cao_qiao_001,283,9.442776,3840,2160,6,283
cao_qiao_001,284,9.476143,3840,2160,6,284
cao_qiao_001,285,9.509510,3840,2160,6,285
cao_qiao_001,286,9.542876,3840,2160,6,286
cao_qiao_001,287,9.576243,3840,2160,6,287
cao_qiao_001,288,9.609610,3840,2160,6,288
cao_qiao_001,289,9.642976,3840,2160,6,289
cao_qiao_001,290,9.676343,3840,2160,6,290
cao_qiao_001,291,9.709710,3840,2160,7,291
cao_qiao_001,292,9.743076,3840,2160,7,292
cao_qiao_001,293,9.776443,3840,2160,7,293
cao_qiao_001,294,9.809810,3840,2160,7,294
cao_qiao_001,295,9.843177,3840,2160,7,295
cao_qiao_001,296,9.876543,3840,2160,6,296
cao_qiao_001,297,9.909910,3840,2160,6,297
cao_qiao_001,298,9.943277,3840,2160,6,298
cao_qiao_001,299,9.976643,3840,2160,6,299
