recordingId,trackId,raw_object_id,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,raw_mean_width,raw_mean_height,corrected_width,corrected_height,box_orientation_source,missing_ratio,class
001,27,79,587,972,386,-70.8892,47.9231,-15.8803,-44.3883,-1,4,1.4825,3.6121,1.4825,3.6121,1.4825,3.6121,heading_corrected_from_hbb,0.0000,car
001,28,92,722,1740,1019,-71.2254,47.4832,67.4173,47.1109,-1,12,1.5020,3.3802,1.5020,3.3802,1.5020,3.3802,heading_corrected_from_hbb,0.0000,car
001,29,93,726,1181,456,-67.0381,48.2741,-13.0812,-44.4860,5,8,1.4404,3.3941,1.4404,3.3941,1.4404,3.3941,heading_corrected_from_hbb,0.0000,car
001,30,100095,742,1608,867,50.2539,49.3051,-18.1580,-40.6333,7,4,0.8291,1.3624,0.8291,1.3624,0.8291,1.3624,heading_corrected_from_hbb,0.0761,motor
001,31,98,763,1746,984,12.6392,-44.2694,-52.2095,48.9580,-1,-1,1.4747,3.4792,1.4747,3.4792,1.4747,3.4792,heading_corrected_from_hbb,0.0000,car
001,32,100103,812,1313,502,-13.2217,28.0076,-20.4742,-38.1357,2,4,0.8504,1.4437,0.8504,1.4437,0.8504,1.4437,heading_corrected_from_hbb,0.1554,motor
001,33,100106,821,1363,543,13.5243,-43.9618,71.0871,49.4022,-1,12,1.0006,1.4056,1.0006,1.4056,1.0006,1.4056,heading_corrected_from_hbb,0.1142,motor
001,34,110,861,1399,539,-70.4258,47.7392,-15.5123,-44.4150,-1,4,1.5409,3.6306,1.5409,3.6306,1.5409,3.6306,heading_corrected_from_hbb,0.0000,car
001,35,100112,909,1192,284,14.6207,-42.5077,28.5298,-17.4080,-1,2,0.7580,1.2842,0.7580,1.2842,0.7580,1.2842,heading_corrected_from_hbb,0.2817,motor
001,36,114,930,1468,539,-71.0424,47.7734,-15.5589,-44.3612,-1,4,1.4509,3.5418,1.4509,3.5418,1.4509,3.5418,heading_corrected_from_hbb,0.0000,car
001,37,117,950,1306,357,51.6043,48.0925,-51.8519,48.3740,7,-1,1.4904,3.6241,1.4904,3.6241,1.4904,3.6241,heading_corrected_from_hbb,0.0000,car
001,38,125,1102,1513,412,-69.6595,47.7873,-14.1895,-44.3824,-1,8,1.5691,4.0819,1.5691,4.0819,1.5691,4.0819,heading_corrected_from_hbb,0.0000,car
001,39,134,1235,1849,615,-69.6928,47.1261,-16.0004,-43.5327,-1,4,2.0252,4.9154,2.0252,4.9154,2.0252,4.9154,heading_corrected_from_hbb,0.0065,van
001,40,139,1310,1846,537,-70.6085,47.7283,-12.6994,-44.4402,-1,8,1.3873,3.3403,1.3873,3.3403,1.3873,3.3403,heading_corrected_from_hbb,0.0000,car
001,41,100143,1335,1565,231,45.0165,47.0251,7.8486,33.8128,7,-1,0.8339,1.2335,0.8339,1.2335,0.8339,1.2335,heading_corrected_from_hbb,0.1212,motor
001,42,148,1415,1935,521,-70.5375,47.8017,-15.7145,-44.4010,-1,4,1.5517,3.6611,1.5517,3.6611,1.5517,3.6611,heading_corrected_from_hbb,0.0000,car
001,43,100150,1437,1594,158,50.3041,23.5843,72.3056,49.4950,12,12,0.9917,1.1961,0.9917,1.1961,0.9917,1.1961,heading_corrected_from_hbb,0.2405,motor
001,44,152,1495,2180,686,10.4772,-44.0983,-52.9217,48.9376,14,-1,1.4969,3.5205,1.4969,3.5205,1.4969,3.5205,heading_corrected_from_hbb,0.0000,car
001,45,100163,1643,1891,249,-5.7271,33.2287,-47.9355,41.2470,2,9,0.6740,1.2342,0.6740,1.2342,0.6740,1.2342,heading_corrected_from_hbb,0.0964,motor
001,46,100176,1665,2067,403,-61.6602,39.5544,-17.6900,-44.3007,3,4,0.8667,1.3458,0.8667,1.3458,0.8667,1.3458,heading_corrected_from_hbb,0.2556,motor
001,47,179,1689,2263,575,9.4887,-44.0211,-56.8257,48.9246,14,9,1.5376,3.5892,1.5376,3.5892,1.5376,3.5892,heading_corrected_from_hbb,0.0000,car
001,48,100183,1737,2084,348,-31.2646,-11.7544,-5.1359,-29.0262,2,1,1.0052,1.1548,1.0052,1.1548,1.0052,1.1548,heading_corrected_from_hbb,0.2471,motor
001,49,100209,2265,2900,636,14.1681,-25.9413,66.7246,45.8252,1,12,1.0299,1.2616,1.0299,1.2616,1.0299,1.2616,heading_corrected_from_hbb,0.0393,motor
001,50,210,2276,2983,708,8.3321,-43.9527,-55.2789,49.0401,14,-1,1.4128,3.3364,1.4128,3.3364,1.4128,3.3364,heading_corrected_from_hbb,0.0000,car
001,51,214,2318,2680,363,49.4926,47.2821,-52.4537,48.9060,7,-1,1.4823,3.5270,1.4823,3.5270,1.4823,3.5270,heading_corrected_from_hbb,0.0000,car
001,52,219,2406,2619,214,13.5260,-44.3992,24.8409,-30.0018,-1,11,1.1507,2.4471,1.1507,2.4471,1.1507,2.4471,heading_corrected_from_hbb,0.0654,car
001,53,221,2426,2820,395,-71.9673,48.3366,-16.3349,-43.5700,-1,4,1.5476,4.1155,1.5476,4.1155,1.5476,4.1155,heading_corrected_from_hbb,0.0000,car
001,54,226,2533,2887,355,45.4123,45.7000,-49.9719,47.6691,7,-1,2.2296,7.0135,2.2296,7.0135,2.2296,7.0135,heading_corrected_from_hbb,0.0000,truck
001,55,227,2541,3145,605,10.6019,-43.7860,-53.0263,48.9703,14,-1,1.4448,3.5669,1.4448,3.5669,1.4448,3.5669,heading_corrected_from_hbb,0.0000,car
001,56,238,2665,3429,765,50.7844,18.4532,-14.2161,-44.3439,11,-1,1.4017,3.2652,1.4017,3.2652,1.4017,3.2652,heading_corrected_from_hbb,0.0000,car
001,57,243,2788,3359,572,12.0738,-44.1069,-52.7255,48.9398,-1,-1,1.3522,3.6671,1.3522,3.6671,1.3522,3.6671,heading_corrected_from_hbb,0.0000,car
001,58,100246,2845,3567,723,-67.5175,43.4021,-19.6933,-42.4701,3,3,1.0078,1.2973,1.0078,1.2973,1.0078,1.2973,heading_corrected_from_hbb,0.2725,motor
001,59,249,2854,3202,349,10.6884,-43.9246,64.7852,46.3454,14,12,1.2953,3.3157,1.2953,3.3157,1.2953,3.3157,heading_corrected_from_hbb,0.0000,car
