dataset_id,version,raw_object_id,filter_type,filter_reason,fragmentation_group_id,related_raw_object_ids,fragmentation_score,quality_score,start_frame,end_frame,total_frames,class_name_mode
cao_qiao_001,full,100364,missing_ratio_filter,missing_ratio_exceeded,,,,4.0625,4569,4622,10,motor
cao_qiao_001,full,100368,missing_ratio_filter,missing_ratio_exceeded,,,,1.1171,4513,4521,3,pedestrian
cao_qiao_001,full,100373,short_track_filter,track_duration_too_short,,,,0.4387,4568,4568,1,pedestrian
cao_qiao_001,full,100384,missing_ratio_filter,missing_ratio_exceeded,,,,1.1839,4745,4762,3,motor
cao_qiao_001,full,100390,missing_ratio_filter,missing_ratio_exceeded,,,,0.8317,4807,4851,2,motor
cao_qiao_001,full,100398,short_track_filter,track_duration_too_short,,,,0.4505,4946,4946,1,awning-tricycle
cao_qiao_001,full,100407,missing_ratio_filter,missing_ratio_exceeded,,,,11.8970,4980,5105,28,motor
cao_qiao_001,full,100408,missing_ratio_filter,missing_ratio_exceeded,,,,88.4869,4968,5251,169,motor
cao_qiao_001,full,100411,short_track_filter,track_duration_too_short,,,,6.3136,5032,5045,14,motor
cao_qiao_001,full,100414,short_track_filter,track_duration_too_short,,,,0.3839,5041,5041,1,motor
cao_qiao_001,full,100416,short_track_filter,track_duration_too_short,,,,2.2459,5078,5082,5,motor
cao_qiao_001,full,100420,missing_ratio_filter,missing_ratio_exceeded,,,,1.2073,5116,5155,3,motor
cao_qiao_001,full,100425,missing_ratio_filter,missing_ratio_exceeded,,,,202.6810,5125,5943,435,motor
cao_qiao_001,full,100429,missing_ratio_filter,missing_ratio_exceeded,,,,2.3234,5149,5169,6,motor
cao_qiao_001,full,100431,missing_ratio_filter,missing_ratio_exceeded,,,,9.3440,5156,5225,22,pedestrian
cao_qiao_001,full,100433,short_track_filter,track_duration_too_short,,,,0.4352,5163,5163,1,people
cao_qiao_001,full,100435,short_track_filter,track_duration_too_short,,,,0.8424,5199,5200,2,motor
cao_qiao_001,full,100442,short_track_filter,track_duration_too_short,,,,0.7254,5269,5270,2,motor
cao_qiao_001,full,100444,missing_ratio_filter,missing_ratio_exceeded,,,,34.1446,5286,5489,72,pedestrian
cao_qiao_001,full,100448,missing_ratio_filter,missing_ratio_exceeded,,,,9.0081,5344,5386,21,motor
